position,foot,status,joinedOn,name,height,id,nationality,contract,marketValue,joined,age,dateOfBirth,signedFrom
Central Midfield,right,,"Jul 1, 2024",Tommy Doyle,"1,72m",433183,['England'],"Jun 30, 2028",€10.00m,"Joined from Manchester City; date: Jul 1, 2024; fee: €5.00m",23,"Oct 17, 2001",Manchester City
Central Midfield,right,,"Jul 1, 2021",Luke Cundle,"1,71m",532541,['England'],"Jun 30, 2026",€5.00m,,22,"Apr 26, 2002",Wolverhampton Wanderers U21
Right Midfield,right,,"Jul 1, 2024",Rodrigo Gomes,"1,75m",667121,['Portugal'],"Jun 30, 2029",€15.00m,"Joined from SC Braga; date: Jul 1, 2024; fee: €15.00m",21,"Jul 7, 2003",SC Braga
Left Winger,right,,"Aug 8, 2022",Gonçalo Guedes,"1,79m",225122,['Portugal'],"Jun 30, 2027",€15.00m,"Returned after loan spell with Villarreal CF; date: Jun 30, 2024; fee: End of loan",27,"Nov 29, 1996",Valencia CF
Left Winger,left,,"Aug 30, 2024",Carlos Forbs,"1,69m",742451,"['Portugal', 'Guinea-Bissau']","Jun 30, 2025",€8.00m,"On loan from Ajax Amsterdam until Jun 30, 2025",20,"Mar 19, 2004",Ajax Amsterdam
Left Winger,left,Cruciate ligament tear - Return unknown,"Aug 31, 2023",Enso González,"1,69m",1060740,['Paraguay'],"Jun 30, 2029",€4.00m,,19,"Jan 20, 2005",Club Libertad Asunción
Right Winger,left,,"Jan 17, 2023",Pablo Sarabia,"1,74m",74230,['Spain'],"Jun 30, 2025",€8.00m,,32,"May 11, 1992",: Ablöse €5.00m
Centre-Forward,right,,"Jul 1, 2023",Matheus Cunha,"1,83m",517894,['Brazil'],"Jun 30, 2027",€45.00m,,25,"May 27, 1999",: Ablöse €50.00m
Centre-Forward,right,,"Jul 2, 2024",Jørgen Strand Larsen,"1,93m",429983,['Norway'],"Jun 30, 2025",€25.00m,"On loan from Celta de Vigo until Jun 30, 2025",24,"Feb 6, 2000",Celta de Vigo
Centre-Forward,right,"Ankle injury - Return expected on Dec 15, 2024","Jul 1, 2022",Hee-chan Hwang,"1,77m",292246,"['Korea, South']","Jun 30, 2028",€25.00m,,28,"Jan 26, 1996",RB Leipzig
Centre-Forward,right,Cruciate ligament tear - Return unknown,"Aug 31, 2022",Sasa Kalajdzic,"2,00m",369567,['Austria'],"Jun 30, 2027",€5.00m,"Returned after loan spell with Eintracht Frankfurt; date: Jun 30, 2024; fee: End of loan",27,"Jul 7, 1997",VfB Stuttgart
