position,foot,status,joinedOn,name,height,id,nationality,contract,marketValue,joined,age,dateOfBirth,signedFrom
Defensive Midfield,right,"No eligibility - until Dec 31, 2024 - UEFA Conference League","Aug 18, 2023",Roméo Lavia,"1,81m",628451,['Belgium'],"Jun 30, 2030",€35.00m,,20,"Jan 6, 2004",Southampton FC
Central Midfield,right,,"Jan 31, 2023",Enzo Fernández,"1,78m",648195,['Argentina'],"Jun 30, 2032",€75.00m,,23,"Jan 17, 2001",SL Benfica
Central Midfield,left,,"Jul 2, 2024",Kiernan Dewsbury-Hall,"1,78m",475188,['England'],"Jun 30, 2029",€30.00m,"Joined from Leicester City; date: Jul 2, 2024; fee: €35.40m",26,"Sep 6, 1998",Leicester City
Central Midfield,right,,"Aug 4, 2022",Carney Chukwuemeka,"1,87m",659459,"['England', 'Nigeria']","Jun 30, 2028",€15.00m,,21,"Oct 20, 2003",: Ablöse €18.00m
Central Midfield,right,,"Aug 19, 2022",Cesare Casadei,"1,85m",622380,['Italy'],"Jun 30, 2028",€10.00m,,21,"Jan 10, 2003",Inter Milan
Attacking Midfield,left,"No eligibility - until Dec 31, 2024 - UEFA Conference League","Sep 1, 2023",Cole Palmer,"1,85m",568177,['England'],"Jun 30, 2033",€90.00m,,22,"May 6, 2002",Manchester City
Attacking Midfield,right,,"Jul 1, 2023",Christopher Nkunku,"1,77m",344381,"['France', 'DR Congo']","Jun 30, 2029",€65.00m,,26,"Nov 14, 1997",RB Leipzig
Left Winger,right,,"Jan 15, 2023",Mykhaylo Mudryk,"1,75m",537860,['Ukraine'],"Jun 30, 2031",€30.00m,,23,"Jan 5, 2001",Shakhtar Donetsk
Left Winger,right,,"Aug 30, 2024",Jadon Sancho,"1,80m",401173,"['England', 'Jamaica']","Jun 30, 2025",€30.00m,"On loan from Manchester United until Jun 30, 2025",24,"Mar 25, 2000",Manchester United
Right Winger,left,,"Aug 11, 2024",Pedro Neto,"1,73m",487465,['Portugal'],"Jun 30, 2031",€55.00m,"Joined from Wolverhampton Wanderers; date: Aug 11, 2024; fee: €60.00m",24,"Mar 9, 2000",Wolverhampton Wanderers
Right Winger,left,,"Jan 20, 2023",Noni Madueke,"1,82m",503987,"['England', 'Nigeria']","Jun 30, 2030",€35.00m,,22,"Mar 10, 2002",PSV Eindhoven
Second Striker,right,,"Aug 21, 2024",João Félix,"1,81m",462250,['Portugal'],"Jun 30, 2031",€30.00m,"Joined from Atlético de Madrid; date: Aug 21, 2024; fee: €52.00m",25,"Nov 10, 1999",Atlético de Madrid
Centre-Forward,right,,"Jul 1, 2023",Nicolas Jackson,"1,87m",776890,"['Senegal', 'The Gambia']","Jun 30, 2033",€40.00m,,23,"Jun 20, 2001",Villarreal CF
Centre-Forward,right,,"Aug 24, 2023",Deivid Washington,"1,87m",1082850,['Brazil'],"Jun 30, 2030",€9.00m,,19,"Jun 5, 2005",Santos FC
Centre-Forward,right,,"Jul 1, 2024",Marc Guiu,"1,87m",938158,['Spain'],"Jun 30, 2029",€7.50m,"Joined from FC Barcelona; date: Jul 1, 2024; fee: €6.00m",18,"Jan 4, 2006",FC Barcelona
